age,gender,height,weight,steps,hear_rate,calories,distance,entropy_heart,entropy_setps,resting_heart,corr_heart_steps,norm_heart,intensity_karvonen,sd_norm_heart,steps_times_distance,device
19,1,180.0,62.7,6.0,159.75,0.061,0.0055575,6.28540221886225,5.70694817426271,55.0,1.0,104.75,0.717465753424658,41.215716056207,0.033345,apple watch
33,0,163.7,60.5,88.4285714285714,68.0,3.28762546296296,0.0638662337662338,6.19529593449622,5.95845382923306,60.0,1.0,8.0,0.062992125984252,38.5302976129234,5.64759981447124,apple watch
18,1,183.0,70.3,1.0,152.0,96.5,1.0,5.07630453185925,4.92071874902894,45.3596552570237,1.0,106.640344742976,0.680797433879231,61.3684178320801,1.0,fitbit
31,0,168.0,68.0,4.52173913043478,91.0,0.252,0.0030952173913043,6.16992500144231,5.69205872426777,64.8666666666666,0.858756121598384,26.1333333333334,0.210526315789474,3.78456294262186,0.0139957655954631,apple watch
19,1,183.0,65.7,5.375,91.5,0.255333333333333,0.00422,6.3037807481771,6.2784642924809,34.1538461538462,-0.467587027260557,57.3461538461538,0.343706777316736,24.4616770063139,0.0226825,apple watch
32,1,177.0,76.7,8.76352853965901,77.0184858218958,68.0,15.704966641957,6.16992500144231,6.16992500144231,75.6728368081963,1.0,1.34564901369944,0.0119797293500744,0.0754473094966322,137.630923381183,fitbit
36,0,157.5,53.6,14.2068965517241,84.5593222222222,22.6235172413793,0.0074875862068965,6.00867999485291,6.1038848972456,78.8234467592592,1.0,5.73587546296298,0.0545356858180551,0.56020081859674,0.106375362663496,apple watch
23,1,181.0,95.2,255.119047619048,62.299152550505,19.0562666666667,0.173024523809524,6.25976119322122,6.25976119322122,56.3333333333333,-0.926128426668967,5.96581921717171,0.0424110370888984,2.21746254052837,44.1418517290249,apple watch
23,0,177.8,85.0,11.2963988919668,35.9905729235369,63.0,233.850415512465,6.20945336562895,2.20373896909737,15.75,-1.0,20.2405729235369,0.111672126474686,7.99451189155262,2641.66757468098,fitbit
36,1,173.0,85.7,70.0,141.666666666667,0.74,0.024515,5.94580775746237,5.92898191289701,71.0,0.384960935856105,70.6666666666667,0.625368731563422,26.8939389197136,1.71605,apple watch
25,0,157.5,59.1,32.0,117.929411764706,0.756,0.05301,6.1076327780581,6.02544099723618,97.0,-0.143543835119164,20.9294117647059,0.213565426170468,3.3433846214683,1.69632,apple watch
32,1,177.0,76.7,38.2010582010582,76.1315789473684,16.8508,0.0275758201058201,6.14214722366453,6.16992500144231,55.2857142857143,-1.0,20.8458646616541,0.15707325364002,0.0796750093183573,1.05342550880434,apple watch
20,1,180.0,79.3,7.5,89.7344345521542,16.8163333333333,0.00444375,6.24792751344359,6.16898014502253,75.0,0.284267621807481,14.7344345521542,0.117875476417233,0.89881730768172,0.033328125,apple watch
22,1,180.0,83.6,1.0,75.875,71.0,1.0,4.04729120346679,0.513667047822279,29.0,-0.141463027332431,46.875,0.277366863905325,26.7277911088498,1.0,fitbit
